nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
MN27,1,Growing Market,0.3214398308056965,0.0060514372163388,0.3009664338792832,3.0,0.5329153605015674,0.29571577847439917,4.47196261682243,1.0,Low,0.4489625058739919,"QN08,MN23,BK35",82
QN08,1,Growing Market,0.3057790052253698,0.0,0.3149622959780416,0.0,0.4945054945054945,0.5054945054945055,3.5,1.0,Low,0.4482965204813646,"BK35,QN12,MN27",83
BX26,1,Growing Market,0.4269794082961786,0.0,0.4398026433279546,0.0,0.0,0.0,1.0,0.5,Medium,0.44671282064965334,"QN29,SI54,SI45",84
BK26,1,Growing Market,0.4897039143106066,0.0277777777777777,0.3661195266352021,1.0,0.0,0.0,1.0,0.5,Medium,0.4423293763783235,"MN28,QN68,BK09",85
BK46,1,Growing Market,0.3931259923281354,0.04,0.2057929207735544,1.0,0.0,1.0,1.0,1.0,Low,0.439567565240676,"MN22,BK33,QN01",86
QN60,1,Growing Market,0.339968668613078,0.02,0.2506089556168711,1.0,0.4057971014492754,0.5217391304347826,2.76,1.0,Low,0.4362310496919797,"MN22,MN15,QN98",87
MN28,1,Growing Market,0.4688689940393571,0.0273224043715847,0.3469259548091248,2.0,0.0,0.0,1.0,0.5,Medium,0.42631797953939277,"QN68,BK26,SI28",88
MN22,0,Low Demand,0.3305655747326269,0.0211864406779661,0.2350167806268188,5.0,0.5160866710439921,0.319763624425476,4.039787798408488,1.0,Low,0.42623294214377827,"QN60,MN15,QN98",89
SI01,1,Growing Market,0.5240009671855896,0.05,0.290813489497926,1.0,0.5529411764705883,0.27647058823529413,4.0476190476190474,0.5,Medium,0.4259257826734063,"SI28,QN28,BK83",90
QN29,1,Growing Market,0.4173971907778272,0.0069686411149825,0.3952393372905212,2.0,0.5723684210526315,0.2582236842105263,4.825396825396825,0.5,Medium,0.42505461122733934,"BX26,SI37,MN36",91
QN68,1,Growing Market,0.46260332802387,0.0297029702970297,0.3286204915338771,1.0,0.0,0.0,1.0,0.5,Medium,0.4164895278230989,"MN28,BK26,SI28",92
BK38,0,Low Demand,0.2881908231190841,0.0122549019607843,0.2358349891502805,3.0,0.5222135619641465,0.36788776305533905,3.7514619883040936,1.0,Low,0.40961032490774585,"MN15,MN24,QN98",93
SI28,1,Growing Market,0.4687401480450154,0.037037037037037,0.2984290362728197,2.0,0.5384615384615384,0.25961538461538464,3.3548387096774195,0.5,Medium,0.40686767372713406,"QN68,SI01,MN28",94
MN15,0,Low Demand,0.2936242000201214,0.01669449081803,0.2193290942658826,4.0,0.5266781411359724,0.33820998278829606,3.9794520547945207,1.0,Low,0.40518131771440163,"QN98,BK38,MN24",95
BK31,2,Established Hub,0.5973291555472796,0.0916905444126074,0.1587879380718045,3.0,0.5421487603305785,0.26611570247933886,4.879032258064516,0.5,Medium,0.40244683744763365,"BK27,SI36,BK19",96
SI37,1,Growing Market,0.3967645288251262,0.0120481927710843,0.3486985282216551,1.0,0.5633802816901409,0.38028169014084506,3.0869565217391304,0.5,Medium,0.3981852228187125,"QN31,MN09,QN63",97
QN63,1,Growing Market,0.4002217774626737,0.0192307692307692,0.3165012203679029,1.0,0.5404858299595142,0.2874493927125506,4.704761904761905,0.5,Medium,0.38668919913223065,"MN09,BK79,SI37",98
QN98,0,Low Demand,0.268190533308777,0.0163934426229508,0.1946303578636837,1.0,0.448,0.648,2.358490566037736,1.0,Low,0.3851283564689843,"MN15,MN24,BK38",99
MN24,0,Low Demand,0.2476959685212139,0.0120918984280532,0.19493548659362,4.0,0.5262390670553936,0.31924198250728864,4.051181102362205,1.0,Low,0.3770525820459336,"QN98,BK38,MN34",100
MN09,1,Growing Market,0.3758177925058808,0.0155440414507772,0.3097186620253064,2.0,0.0,0.0,1.0,0.5,Medium,0.3742145818124749,"QN31,QN63,SI37",101
MN36,1,Growing Market,0.3356854703034515,0.0,0.3457669252842208,0.0,0.5541666666666667,0.375,4.0,0.5,Medium,0.372580958235069,"BX63,QN31,SI37",102
QN35,2,Established Hub,0.6798131429274609,0.1973684210526315,0.0,3.0,0.0,0.0,1.0,0.5,Medium,0.37192525717098435,"BK19,BK27,BK31",103
QN31,1,Growing Market,0.3606247088387398,0.0115384615384615,0.3140110330448863,2.0,0.5594965675057209,0.3100686498855835,4.161904761904762,0.5,Medium,0.3698542967534505,"MN09,SI37,QN63",104
BK27,2,Established Hub,0.5755055221746207,0.1,0.0949403449114395,2.0,0.0,0.0,1.0,0.5,Medium,0.3681783468344241,"SI36,BK31,BK19",105
MN32,0,Low Demand,0.208843504345806,0.00418410041841,0.1942850824313717,1.0,0.4829821717990275,0.39222042139384117,3.8322981366459627,1.0,Low,0.3612514347108711,"MN34,BK50,MN99",106
BK79,1,Growing Market,0.3749520330155504,0.0227272727272727,0.2730652555465136,1.0,0.5714285714285714,0.16428571428571428,4.375,0.5,Medium,0.35920691542482563,"QN71,BK64,QN63",107
QN28,1,Growing Market,0.4445734293466756,0.0526315789473684,0.1958992587484852,3.0,0.5554484088717454,0.2304725168756027,5.317948717948718,0.5,Medium,0.3561890752380643,"BK17,SI01,QN38",108
QN71,1,Growing Market,0.3635219820742563,0.0229885057471264,0.25999138622933,2.0,0.5490196078431373,0.2549019607843137,4.340425531914893,0.5,Medium,0.3494053473214345,"BK79,BK64,BK69",109
MN34,0,Low Demand,0.1951508786001647,0.005524861878453,0.173506265959325,1.0,0.5182481751824818,0.30656934306569344,4.151515151515151,1.0,Low,0.34746285782379593,"MN32,MN99,BK50",110
SI36,2,Established Hub,0.5358596828872613,0.0943396226415094,0.0822839770816796,2.0,0.5657894736842105,0.3026315789473684,3.707317073170732,0.5,Medium,0.3472574639875764,"BK27,BK19,BK31",111
BK17,1,Growing Market,0.4200914244835033,0.0482758620689655,0.1923668930042474,2.0,0.0,0.0,1.0,0.5,Medium,0.34498332699510026,"QN28,QN38,SI28",112
BK50,0,Low Demand,0.1721897845737544,0.0,0.1773610645810762,0.0,0.5102880658436214,0.3004115226337449,4.11864406779661,1.0,Low,0.33982033966193226,"MN99,MN32,MN34",113
BK64,1,Growing Market,0.363540173570695,0.0279720279720279,0.2351997077795469,2.0,0.5653846153846154,0.32884615384615384,3.9097744360902253,0.5,Medium,0.3394959525400968,"QN71,BK79,BK69",114
MN99,0,Low Demand,0.1670149771113675,0.0,0.1720308450050252,0.0,0.0,1.0,1.0,1.0,Low,0.33561832884655707,"BK50,MN32,MN34",115
BK19,2,Established Hub,0.5843889879714349,0.136986301369863,0.0,3.0,0.5670498084291188,0.367816091954023,3.676056338028169,0.5,Medium,0.333755595188574,"BK27,SI36,QN35",116
