restaurant_id,latitude,longitude,nta,zone_id,in_nyc_nta,in_modeled_microzone
dJdIEYv56jTBkU6hAnSypw,40.737416,-73.879078,QN29,nta-qn29,True,True
ejuFKvSfGl0JMZO9yzSXNw,40.74600424769782,-73.88356062541311,QN29,nta-qn29,True,True
HQVM972eVta9ufVz7uh_eg,40.7440058,-73.8851412,QN29,nta-qn29,True,True
3K7Kc82bhU6-qjAjsBs3Fw,40.74111,-73.87977,QN29,nta-qn29,True,True
e_-1xBXVKw6STdyprMaBoQ,40.74299476436046,-73.88344529999999,QN29,nta-qn29,True,True
ev9PmXZ06W4Vfqp6TVC4gQ,40.7448083,-73.9039082,QN63,nta-qn63,True,True
JlFbaMbMzsu7FA307mUIqg,40.7407051700423,-73.8793501821476,QN29,nta-qn29,True,True
qy2S_akh9RjSAktwUKf1-g,40.74610107771493,-73.90120091263105,QN63,nta-qn63,True,True
-VDu7XOxIHlL0ynX6vEarw,40.73313,-73.88375,QN29,nta-qn29,True,True
yCJHIM-PWl54K53ACOpoNg,40.7436465,-73.8873753,QN29,nta-qn29,True,True
PgamFwM-ZD88CbTBvOhJqw,40.7457263856082,-73.9035525144888,QN63,nta-qn63,True,True
2ZBEE_MJeRdLD1NLiNTnCQ,40.745704,-73.900993,QN63,nta-qn63,True,True
m2_ZNFos5ugAwe8ft8eaEw,40.7429414097644,-73.8832733356575,QN29,nta-qn29,True,True
tS4aiWBYgzlqKX898jr3_w,40.7431373596191,-73.8830413818359,QN29,nta-qn29,True,True
a5H9p1B6m6WPVjakPylvdA,40.7437053273707,-73.8878916857991,QN29,nta-qn29,True,True
51aARsa3-6P-ur6mAcBDYw,40.7412816492402,-73.8801150134641,QN29,nta-qn29,True,True
gwjc9sDpdzi2yAChOm4QbQ,40.74151992797851,-73.90632629394531,QN63,nta-qn63,True,True
j0h-Ed4WTy24lhwbkk5e6A,40.7462596,-73.8967588,QN63,nta-qn63,True,True
B5LRDE8nfGBQDVQRkkRJJA,40.7455482,-73.9050522,QN63,nta-qn63,True,True
Jqn6agm8Lylrz6ajV7ib3Q,40.74220911025338,-73.89553609993006,QN50,qn-murray-hill-flushing,True,True
j5lcD_3axjQoq3FWxrXnLw,40.745093571913976,-73.88577970204014,QN29,nta-qn29,True,True
IKHp6OLsPGXl-gXzVJg-ZA,40.739268,-73.879555,QN50,qn-murray-hill-flushing,True,True
ZE4NM0h9T_sbfuV4nq8pSg,40.72658335332011,-73.8708888255484,QN21,nta-qn21,True,True
dzeyJKd4ju2lGF85oXVdUQ,40.734824,-73.873406,QN29,nta-qn29,True,True
rIk4_cVWtijCso6EBUSbyw,40.73446467744242,-73.86750762809763,QN29,nta-qn29,True,True
1ubEg-rrSE8IWXl6lJzIGw,40.7235516378586,-73.868817789544,QN21,nta-qn21,True,True
lGLeaVcg7U4tOfJFhVqGng,40.7419,-73.87838,QN29,nta-qn29,True,True
B5L15EOQGIbZYiLa56URmQ,40.73452440479109,-73.86853994171065,QN29,nta-qn29,True,True
My17Ud2T_tXy_9ND9aezpQ,40.7301,-73.863538,QN18,qn-rego-middle,True,True
sVJvv6u3vXStXZ_-iWhEGg,40.7293,-73.8632,QN18,qn-rego-middle,True,True
F4h-me4JUd-M-9K6DypMYQ,40.73045325795751,-73.86408161893098,QN18,qn-rego-middle,True,True
A0GVSLdYCEIr-yLZnqhJkg,40.731202,-73.859833,QN18,qn-rego-middle,True,True
rIQNxw1JhrMZ1vpDBUVs1Q,40.7302797,-73.86217839999999,QN18,qn-rego-middle,True,True
1bDs2GYnlu1sYDOkPwV_Zg,40.724149,-73.855382,QN17,qn-forest-hills,True,True
tfgT9QVKobG4I6sKouSGGg,40.7295382777905,-73.86161061453326,QN18,qn-rego-middle,True,True
OCff3qY1w-kByKfaUEYLjg,40.7372474,-73.8770402,QN29,nta-qn29,True,True
ZiIr9QWrETxrVkP6NdwdXQ,40.73312238376368,-73.84946140001566,QN17,qn-forest-hills,True,True
68-oBuUq7Xoj19uif3mhlA,40.7348129,-73.86449340000001,QN25,nta-qn25,True,True
LhrHDEamaVqfD7D9V7x9Iw,40.7322771,-73.85715590793623,QN18,qn-rego-middle,True,True
0BcydXe2sU0aPwSRAq3zgw,40.741762,-73.878628,QN29,nta-qn29,True,True
